municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Benevides,dados_benevides__populacao_total,População Total,dados_benevides,Grupo 1 — 4 censos,4,relu,adam,True,1.928283413290245,1991,27.84,Valor
Benevides,dados_benevides__populacao_total,População Total,dados_benevides,Grupo 1 — 4 censos,4,relu,adam,True,1.928283413290245,2000,36.314,Valor
Benevides,dados_benevides__populacao_total,População Total,dados_benevides,Grupo 1 — 4 censos,4,relu,adam,True,1.928283413290245,2010,51.651,Valor
Benevides,dados_benevides__populacao_total,População Total,dados_benevides,Grupo 1 — 4 censos,4,relu,adam,True,1.928283413290245,2022,63.768,Valor
Benevides,dados_benevides__populacao_urbana,População Urbana,dados_benevides,Grupo 2 — 3 censos,3,identity,adam,True,3.566487284417859,2000,29.41,Valor
Benevides,dados_benevides__populacao_urbana,População Urbana,dados_benevides,Grupo 2 — 3 censos,3,identity,adam,True,3.566487284417859,2010,43.82,Valor
Benevides,dados_benevides__populacao_urbana,População Urbana,dados_benevides,Grupo 2 — 3 censos,3,identity,adam,True,3.566487284417859,2022,56.42,Valor
Benevides,dados_benevides__populacao_rural,População Rural,dados_benevides,Grupo 2 — 3 censos,3,logistic,sgd,True,0.4720237686356186,2000,6.904,Valor
Benevides,dados_benevides__populacao_rural,População Rural,dados_benevides,Grupo 2 — 3 censos,3,logistic,sgd,True,0.4720237686356186,2010,7.831,Valor
Benevides,dados_benevides__populacao_rural,População Rural,dados_benevides,Grupo 2 — 3 censos,3,logistic,sgd,True,0.4720237686356186,2022,7.348,Valor
Benevides,dados_benevides__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_benevides,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,4.21,Valor
Benevides,dados_benevides__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_benevides,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,12.82,Valor
Benevides,dados_benevides__populacao_de_mulheres,População de Mulheres,dados_benevides,Grupo 2 — 3 censos,3,relu,adam,True,2.229091999972779,2000,18.42,Valor
Benevides,dados_benevides__populacao_de_mulheres,População de Mulheres,dados_benevides,Grupo 2 — 3 censos,3,relu,adam,True,2.229091999972779,2010,26.21,Valor
Benevides,dados_benevides__populacao_de_mulheres,População de Mulheres,dados_benevides,Grupo 2 — 3 censos,3,relu,adam,True,2.229091999972779,2022,32.61,Valor
Benevides,dados_benevides__populacao_de_homens,População de Homens,dados_benevides,Grupo 2 — 3 censos,3,relu,adam,True,2.172055564352339,2000,17.894,Valor
Benevides,dados_benevides__populacao_de_homens,População de Homens,dados_benevides,Grupo 2 — 3 censos,3,relu,adam,True,2.172055564352339,2010,25.441,Valor
Benevides,dados_benevides__populacao_de_homens,População de Homens,dados_benevides,Grupo 2 — 3 censos,3,relu,adam,True,2.172055564352339,2022,31.158,Valor
Benevides,dados_benevides__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_benevides,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.8512595938737775,2000,97.1,Valor
Benevides,dados_benevides__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_benevides,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.8512595938737775,2010,97.1,Valor
Benevides,dados_benevides__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_benevides,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.8512595938737775,2022,95.5,Valor
Benevides,dados_benevides__idade_mediana,Idade Mediana,dados_benevides,Grupo 2 — 3 censos,3,identity,adam,True,1.8270221474525943,2000,22.0,Valor
Benevides,dados_benevides__idade_mediana,Idade Mediana,dados_benevides,Grupo 2 — 3 censos,3,identity,adam,True,1.8270221474525943,2010,25.0,Valor
Benevides,dados_benevides__idade_mediana,Idade Mediana,dados_benevides,Grupo 2 — 3 censos,3,identity,adam,True,1.8270221474525943,2022,31.0,Valor
Benevides,dados_benevides__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_benevides,Grupo 2 — 3 censos,3,relu,lbfgs,True,6.568121526543119,2000,7.8,Valor
Benevides,dados_benevides__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_benevides,Grupo 2 — 3 censos,3,relu,lbfgs,True,6.568121526543119,2010,13.4,Valor
Benevides,dados_benevides__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_benevides,Grupo 2 — 3 censos,3,relu,lbfgs,True,6.568121526543119,2022,31.2,Valor
Benevides,dados_benevides__populacao_parda,População Parda,dados_benevides,Grupo 2 — 3 censos,3,relu,adam,True,3.3485364593220672,2000,24.82,Valor
Benevides,dados_benevides__populacao_parda,População Parda,dados_benevides,Grupo 2 — 3 censos,3,relu,adam,True,3.3485364593220672,2010,36.42,Valor
Benevides,dados_benevides__populacao_parda,População Parda,dados_benevides,Grupo 2 — 3 censos,3,relu,adam,True,3.3485364593220672,2022,44.82,Valor
Benevides,dados_benevides__populacao_branca,População Branca,dados_benevides,Grupo 2 — 3 censos,3,relu,adam,True,0.7611773532259752,2000,8.21,Valor
Benevides,dados_benevides__populacao_branca,População Branca,dados_benevides,Grupo 2 — 3 censos,3,relu,adam,True,0.7611773532259752,2010,10.82,Valor
Benevides,dados_benevides__populacao_branca,População Branca,dados_benevides,Grupo 2 — 3 censos,3,relu,adam,True,0.7611773532259752,2022,12.41,Valor
Benevides,dados_benevides__populacao_preta,População Preta,dados_benevides,Grupo 2 — 3 censos,3,identity,adam,True,0.3534086818258591,2000,2.84,Valor
Benevides,dados_benevides__populacao_preta,População Preta,dados_benevides,Grupo 2 — 3 censos,3,identity,adam,True,0.3534086818258591,2010,4.12,Valor
Benevides,dados_benevides__populacao_preta,População Preta,dados_benevides,Grupo 2 — 3 censos,3,identity,adam,True,0.3534086818258591,2022,6.12,Valor
Benevides,dados_benevides__populacao_amarela,População Amarela,dados_benevides,Grupo 2 — 3 censos,3,identity,lbfgs,True,3.0504756938490325,2000,180.0,Valor
Benevides,dados_benevides__populacao_amarela,População Amarela,dados_benevides,Grupo 2 — 3 censos,3,identity,lbfgs,True,3.0504756938490325,2010,160.0,Valor
Benevides,dados_benevides__populacao_amarela,População Amarela,dados_benevides,Grupo 2 — 3 censos,3,identity,lbfgs,True,3.0504756938490325,2022,140.0,Valor
Benevides,dados_benevides__populacao_indigena,População Indígena,dados_benevides,Grupo 2 — 3 censos,3,logistic,sgd,True,92.99479139393627,2000,264.0,Valor
Benevides,dados_benevides__populacao_indigena,População Indígena,dados_benevides,Grupo 2 — 3 censos,3,logistic,sgd,True,92.99479139393627,2010,131.0,Valor
Benevides,dados_benevides__populacao_indigena,População Indígena,dados_benevides,Grupo 2 — 3 censos,3,logistic,sgd,True,92.99479139393627,2022,278.0,Valor
Benevides,dados_benevides__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_benevides,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2000,224.8,Valor
Benevides,dados_benevides__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_benevides,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,482.1,Valor
Benevides,dados_benevides__apenas_1_trabalho,Apenas 1 trabalho,dados_benevides,Grupo 2 — 3 censos,3,logistic,sgd,True,1.419781168262304,2000,96.2,Valor
Benevides,dados_benevides__apenas_1_trabalho,Apenas 1 trabalho,dados_benevides,Grupo 2 — 3 censos,3,logistic,sgd,True,1.419781168262304,2010,96.5,Valor
Benevides,dados_benevides__apenas_1_trabalho,Apenas 1 trabalho,dados_benevides,Grupo 2 — 3 censos,3,logistic,sgd,True,1.419781168262304,2022,94.2,Valor
Benevides,dados_benevides__2_trabalhos,2 trabalhos,dados_benevides,Grupo 2 — 3 censos,3,tanh,adam,True,1.161708120582994,2000,3.4,Valor
Benevides,dados_benevides__2_trabalhos,2 trabalhos,dados_benevides,Grupo 2 — 3 censos,3,tanh,adam,True,1.161708120582994,2010,3.1,Valor
Benevides,dados_benevides__2_trabalhos,2 trabalhos,dados_benevides,Grupo 2 — 3 censos,3,tanh,adam,True,1.161708120582994,2022,5.1,Valor
Benevides,dados_benevides__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_benevides,Grupo 2 — 3 censos,3,tanh,adam,True,0.11169107692838691,2000,0.4,Valor
Benevides,dados_benevides__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_benevides,Grupo 2 — 3 censos,3,tanh,adam,True,0.11169107692838691,2010,0.4,Valor
Benevides,dados_benevides__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_benevides,Grupo 2 — 3 censos,3,tanh,adam,True,0.11169107692838691,2022,0.7,Valor
Benevides,dados_benevides__setor_privado,Setor privado,dados_benevides,Grupo 2 — 3 censos,3,identity,adam,True,2.5025025077832517,2000,7.41,Valor
Benevides,dados_benevides__setor_privado,Setor privado,dados_benevides,Grupo 2 — 3 censos,3,identity,adam,True,2.5025025077832517,2010,16.82,Valor
Benevides,dados_benevides__setor_privado,Setor privado,dados_benevides,Grupo 2 — 3 censos,3,identity,adam,True,2.5025025077832517,2022,24.82,Valor
Benevides,dados_benevides__conta_propria,Conta própria,dados_benevides,Grupo 2 — 3 censos,3,identity,adam,True,0.2501585382177165,2000,4.82,Valor
Benevides,dados_benevides__conta_propria,Conta própria,dados_benevides,Grupo 2 — 3 censos,3,identity,adam,True,0.2501585382177165,2010,8.42,Valor
Benevides,dados_benevides__conta_propria,Conta própria,dados_benevides,Grupo 2 — 3 censos,3,identity,adam,True,0.2501585382177165,2022,12.41,Valor
Benevides,dados_benevides__setor_publico,Setor público,dados_benevides,Grupo 2 — 3 censos,3,identity,adam,True,0.39318514738610766,2000,2.14,Valor
Benevides,dados_benevides__setor_publico,Setor público,dados_benevides,Grupo 2 — 3 censos,3,identity,adam,True,0.39318514738610766,2010,4.21,Valor
Benevides,dados_benevides__setor_publico,Setor público,dados_benevides,Grupo 2 — 3 censos,3,identity,adam,True,0.39318514738610766,2022,7.21,Valor
Benevides,dados_benevides__trabalhador_domestico,Trabalhador doméstico,dados_benevides,Grupo 2 — 3 censos,3,relu,adam,True,0.23298415750733495,2000,1.18,Valor
Benevides,dados_benevides__trabalhador_domestico,Trabalhador doméstico,dados_benevides,Grupo 2 — 3 censos,3,relu,adam,True,0.23298415750733495,2010,1.98,Valor
Benevides,dados_benevides__trabalhador_domestico,Trabalhador doméstico,dados_benevides,Grupo 2 — 3 censos,3,relu,adam,True,0.23298415750733495,2022,2.48,Valor
Benevides,dados_benevides__empregador,Empregador,dados_benevides,Grupo 2 — 3 censos,3,logistic,sgd,True,436.26537748900256,2000,380.0,Valor
Benevides,dados_benevides__empregador,Empregador,dados_benevides,Grupo 2 — 3 censos,3,logistic,sgd,True,436.26537748900256,2010,840.0,Valor
Benevides,dados_benevides__empregador,Empregador,dados_benevides,Grupo 2 — 3 censos,3,logistic,sgd,True,436.26537748900256,2022,1.58,Valor
Benevides,dados_benevides__nao_remunerado_ajuda_a_parente,Não remunerado (ajuda a parente),dados_benevides,Grupo 2 — 3 censos,3,logistic,sgd,True,367.8611550114397,2000,1.24,Valor
Benevides,dados_benevides__nao_remunerado_ajuda_a_parente,Não remunerado (ajuda a parente),dados_benevides,Grupo 2 — 3 censos,3,logistic,sgd,True,367.8611550114397,2010,720.0,Valor
Benevides,dados_benevides__nao_remunerado_ajuda_a_parente,Não remunerado (ajuda a parente),dados_benevides,Grupo 2 — 3 censos,3,logistic,sgd,True,367.8611550114397,2022,340.0,Valor
Benevides,dados_benevides__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_benevides,Grupo 2 — 3 censos,3,logistic,sgd,True,352.3657220797823,2000,310.0,Valor
Benevides,dados_benevides__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_benevides,Grupo 2 — 3 censos,3,logistic,sgd,True,352.3657220797823,2010,680.0,Valor
Benevides,dados_benevides__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_benevides,Grupo 2 — 3 censos,3,logistic,sgd,True,352.3657220797823,2022,1.28,Valor
Benevides,dados_benevides__setor_privado_com_carteira_assinada,Setor privado com carteira assinada,dados_benevides,Grupo 2 — 3 censos,3,identity,adam,True,1.5505321112468817,2000,4.12,Valor
